"chromosomeI"	"fragmentI"	"chromosomeJ"	"fragmentJ"	"pvalue"
"chr18"	0	"chr18"	50000	1
"chr18"	0	"chr18"	100000	1
"chr18"	0	"chr18"	150000	1
"chr18"	0	"chr18"	200000	1
"chr18"	0	"chr18"	250000	1
"chr18"	0	"chr18"	300000	1
"chr18"	0	"chr18"	350000	0.997933764389947
"chr18"	0	"chr18"	400000	1
"chr18"	0	"chr18"	450000	1
"chr18"	0	"chr18"	500000	1
"chr18"	0	"chr18"	550000	1
"chr18"	0	"chr18"	600000	1
"chr18"	50000	"chr18"	100000	0.999890216438734
"chr18"	50000	"chr18"	150000	0.998456352003176
"chr18"	50000	"chr18"	200000	0.99713549885481
"chr18"	50000	"chr18"	250000	0.999892880032868
"chr18"	50000	"chr18"	300000	0.99979180584917
"chr18"	50000	"chr18"	350000	0.991959322188591
"chr18"	50000	"chr18"	400000	0.993145373593207
"chr18"	50000	"chr18"	450000	0.972329464311829
"chr18"	50000	"chr18"	500000	0.986338251222095
"chr18"	50000	"chr18"	550000	0.960640240923163
"chr18"	50000	"chr18"	600000	0.881004004260876
"chr18"	50000	"chr18"	650000	1
"chr18"	100000	"chr18"	150000	0.990244627685206
"chr18"	100000	"chr18"	200000	0.995238545557863
"chr18"	100000	"chr18"	250000	0.982002494305246
"chr18"	100000	"chr18"	300000	0.994133583479252
"chr18"	100000	"chr18"	350000	0.997956612870423
"chr18"	100000	"chr18"	400000	0.956758522516692
"chr18"	100000	"chr18"	450000	0.935298282840111
"chr18"	100000	"chr18"	500000	0.991400552500767
"chr18"	100000	"chr18"	550000	0.940800855565187
"chr18"	100000	"chr18"	600000	0.519006659292631
"chr18"	100000	"chr18"	650000	0.941808642216755
"chr18"	100000	"chr18"	700000	0.995898551231443
"chr18"	150000	"chr18"	200000	0.138170071908197
"chr18"	150000	"chr18"	250000	0.386352492381903
"chr18"	150000	"chr18"	300000	0.666496938172111
"chr18"	150000	"chr18"	350000	0.305037099825496
"chr18"	150000	"chr18"	400000	0.307724966812114
"chr18"	150000	"chr18"	450000	0.560902728925698
"chr18"	150000	"chr18"	500000	0.477082098844124
"chr18"	150000	"chr18"	550000	0.11483098556818
"chr18"	150000	"chr18"	600000	0.0186827100895921
"chr18"	150000	"chr18"	650000	0.28283332830048
"chr18"	150000	"chr18"	700000	0.260605315338967
"chr18"	150000	"chr18"	750000	0.18289731049381
"chr18"	200000	"chr18"	250000	0.172433521758423
"chr18"	200000	"chr18"	300000	0.546359523277941
"chr18"	200000	"chr18"	350000	0.281585558419689
"chr18"	200000	"chr18"	400000	0.120064295245001
"chr18"	200000	"chr18"	450000	0.167353745145299
"chr18"	200000	"chr18"	500000	0.156379244785099
"chr18"	200000	"chr18"	550000	0.252206018997373
"chr18"	200000	"chr18"	600000	0.0143925096871054
"chr18"	200000	"chr18"	650000	0.0344282474523777
"chr18"	200000	"chr18"	700000	0.12784270793067
"chr18"	200000	"chr18"	750000	0.0306221891949414
"chr18"	200000	"chr18"	800000	0.00185043133255512
"chr18"	250000	"chr18"	300000	0.510882019032437
"chr18"	250000	"chr18"	350000	0.185868362380252
"chr18"	250000	"chr18"	400000	0.132773509008098
"chr18"	250000	"chr18"	450000	0.108000173255209
"chr18"	250000	"chr18"	500000	0.250327204386414
"chr18"	250000	"chr18"	550000	0.0119226712007593
"chr18"	250000	"chr18"	600000	0.000135914090552826
"chr18"	250000	"chr18"	650000	0.00330459799331472
"chr18"	250000	"chr18"	700000	0.0392861548469717
"chr18"	250000	"chr18"	750000	0.0704163526570291
"chr18"	250000	"chr18"	800000	0.00144611237862673
"chr18"	250000	"chr18"	850000	0.0410992294177088
"chr18"	300000	"chr18"	350000	0.0488667370409467
"chr18"	300000	"chr18"	400000	0.0661917186738107
"chr18"	300000	"chr18"	450000	0.0448030123207379
"chr18"	300000	"chr18"	500000	0.0219204710806035
"chr18"	300000	"chr18"	550000	0.078749188944533
"chr18"	300000	"chr18"	600000	0.00211268317539207
"chr18"	300000	"chr18"	650000	0.0426458737034399
"chr18"	300000	"chr18"	700000	0.0520381832731394
"chr18"	300000	"chr18"	750000	0.0463980611046955
"chr18"	300000	"chr18"	800000	0.15404463848478
"chr18"	300000	"chr18"	850000	0.226119294709426
"chr18"	300000	"chr18"	900000	0.916719709554983
"chr18"	350000	"chr18"	400000	0.00661671252034921
"chr18"	350000	"chr18"	450000	0.013675481431118
"chr18"	350000	"chr18"	500000	0.0406122125933896
"chr18"	350000	"chr18"	550000	0.00656266644608975
"chr18"	350000	"chr18"	600000	0.00510268113971883
"chr18"	350000	"chr18"	650000	0.101320153105042
"chr18"	350000	"chr18"	700000	0.130474016599564
"chr18"	350000	"chr18"	750000	0.468541157005275
"chr18"	350000	"chr18"	800000	0.0547896217122784
"chr18"	350000	"chr18"	850000	0.0615693759592202
"chr18"	350000	"chr18"	900000	0.511232598151604
"chr18"	350000	"chr18"	950000	0.611190297298352
"chr18"	400000	"chr18"	450000	0.020376352896175
"chr18"	400000	"chr18"	500000	0.214788145834338
"chr18"	400000	"chr18"	550000	0.0800315923958517
"chr18"	400000	"chr18"	600000	0.0151077716463888
"chr18"	400000	"chr18"	650000	0.289172931233867
"chr18"	400000	"chr18"	700000	0.32983560691292
"chr18"	400000	"chr18"	750000	0.136760824814382
"chr18"	400000	"chr18"	800000	0.0472653613907302
"chr18"	400000	"chr18"	850000	0.298758111281786
"chr18"	400000	"chr18"	900000	0.496418262497118
"chr18"	400000	"chr18"	950000	0.887385831082491
"chr18"	400000	"chr18"	1000000	0.881634243563365
"chr18"	450000	"chr18"	500000	0.466041672119264
"chr18"	450000	"chr18"	550000	0.333530085717895
"chr18"	450000	"chr18"	600000	0.135331705488585
"chr18"	450000	"chr18"	650000	0.208753469791299
"chr18"	450000	"chr18"	700000	0.246657087310905
"chr18"	450000	"chr18"	750000	0.66602231807903
"chr18"	450000	"chr18"	800000	0.0123413588166593
"chr18"	450000	"chr18"	850000	0.42700210865963
"chr18"	450000	"chr18"	900000	0.810617850796412
"chr18"	450000	"chr18"	950000	0.991906716884863
"chr18"	450000	"chr18"	1000000	0.959170748269477
"chr18"	450000	"chr18"	1050000	0.971617265563967
"chr18"	500000	"chr18"	550000	0.221467787350485
"chr18"	500000	"chr18"	600000	0.554211012127732
"chr18"	500000	"chr18"	650000	0.794776059504862
"chr18"	500000	"chr18"	700000	0.415293086020648
"chr18"	500000	"chr18"	750000	0.645075540951436
"chr18"	500000	"chr18"	800000	0.438270887786478
"chr18"	500000	"chr18"	850000	0.825809983834363
"chr18"	500000	"chr18"	900000	0.913392430973128
"chr18"	500000	"chr18"	950000	0.945077635566735
"chr18"	500000	"chr18"	1000000	0.975864274412719
"chr18"	500000	"chr18"	1050000	0.945569270660847
"chr18"	500000	"chr18"	1100000	0.926144796596395
"chr18"	550000	"chr18"	600000	0.190251391547184
"chr18"	550000	"chr18"	650000	0.549148420310835
"chr18"	550000	"chr18"	700000	0.790351807456748
"chr18"	550000	"chr18"	750000	0.648139193160666
"chr18"	550000	"chr18"	800000	0.116301639234766
"chr18"	550000	"chr18"	850000	0.230070683608247
"chr18"	550000	"chr18"	900000	0.637656068791734
"chr18"	550000	"chr18"	950000	0.792661088664714
"chr18"	550000	"chr18"	1000000	0.896444113324423
"chr18"	550000	"chr18"	1050000	0.76056235211775
"chr18"	550000	"chr18"	1100000	0.912211216589711
"chr18"	550000	"chr18"	1150000	0.899147099576319
"chr18"	600000	"chr18"	650000	0.257707878650038
"chr18"	600000	"chr18"	700000	0.407565488665736
"chr18"	600000	"chr18"	750000	0.443249590348939
"chr18"	600000	"chr18"	800000	0.0209521112951095
"chr18"	600000	"chr18"	850000	0.832824127814983
"chr18"	600000	"chr18"	900000	0.483606562811662
"chr18"	600000	"chr18"	950000	0.585455475954886
"chr18"	600000	"chr18"	1000000	0.884587964330957
"chr18"	600000	"chr18"	1050000	0.803510504620876
"chr18"	600000	"chr18"	1100000	0.937223886638609
"chr18"	600000	"chr18"	1150000	0.997135056446185
"chr18"	600000	"chr18"	1200000	0.763860045515123
"chr18"	650000	"chr18"	700000	0.206505127582943
"chr18"	650000	"chr18"	750000	0.505721418323464
"chr18"	650000	"chr18"	800000	0.13911865741644
"chr18"	650000	"chr18"	850000	0.876090658805223
"chr18"	650000	"chr18"	900000	0.932665831799067
"chr18"	650000	"chr18"	950000	0.929346326638487
"chr18"	650000	"chr18"	1000000	0.939761327917136
"chr18"	650000	"chr18"	1050000	0.772495107667742
"chr18"	650000	"chr18"	1100000	0.996852248953152
"chr18"	650000	"chr18"	1150000	0.893481795298605
"chr18"	650000	"chr18"	1200000	0.79080828872387
"chr18"	650000	"chr18"	1250000	0.853939149380299
"chr18"	700000	"chr18"	750000	0.428705006197108
"chr18"	700000	"chr18"	800000	0.0716617165880148
"chr18"	700000	"chr18"	850000	0.546698477430328
"chr18"	700000	"chr18"	900000	0.585170422548314
"chr18"	700000	"chr18"	950000	0.935792990969403
"chr18"	700000	"chr18"	1000000	0.895294955087771
"chr18"	700000	"chr18"	1050000	0.978843802882178
"chr18"	700000	"chr18"	1100000	0.83499756539982
"chr18"	700000	"chr18"	1150000	0.874373704007582
"chr18"	700000	"chr18"	1200000	0.855087930299116
"chr18"	700000	"chr18"	1250000	0.998369050465371
"chr18"	700000	"chr18"	1300000	0.857163137006679
"chr18"	750000	"chr18"	800000	0.208679056012107
"chr18"	750000	"chr18"	850000	0.735153456582586
"chr18"	750000	"chr18"	900000	0.851681024194986
"chr18"	750000	"chr18"	950000	0.965914605906251
"chr18"	750000	"chr18"	1000000	0.932404420389995
"chr18"	750000	"chr18"	1050000	0.888604802524341
"chr18"	750000	"chr18"	1100000	0.996266447299658
"chr18"	750000	"chr18"	1150000	0.810175408541693
"chr18"	750000	"chr18"	1200000	0.723352227802133
"chr18"	750000	"chr18"	1250000	0.836299705075301
"chr18"	750000	"chr18"	1300000	0.65673185802172
"chr18"	750000	"chr18"	1350000	1
"chr18"	800000	"chr18"	850000	0.376830645507033
"chr18"	800000	"chr18"	900000	0.757270215733572
"chr18"	800000	"chr18"	950000	0.721271563527953
"chr18"	800000	"chr18"	1000000	0.907861718389132
"chr18"	800000	"chr18"	1050000	0.887330835935786
"chr18"	800000	"chr18"	1100000	0.845966448313255
"chr18"	800000	"chr18"	1150000	0.883266234885043
"chr18"	800000	"chr18"	1200000	0.851156251542307
"chr18"	800000	"chr18"	1250000	0.851135689391608
"chr18"	800000	"chr18"	1300000	0.952905753291279
"chr18"	800000	"chr18"	1350000	0.860764310482046
"chr18"	800000	"chr18"	1400000	0.873568802908328
"chr18"	850000	"chr18"	900000	0.536830568610082
"chr18"	850000	"chr18"	950000	0.705930055107012
"chr18"	850000	"chr18"	1000000	0.87711025420721
"chr18"	850000	"chr18"	1050000	0.834877017043948
"chr18"	850000	"chr18"	1100000	0.801923792609368
"chr18"	850000	"chr18"	1150000	0.444565195038238
"chr18"	850000	"chr18"	1200000	0.214561181867533
"chr18"	850000	"chr18"	1250000	0.941460724159427
"chr18"	850000	"chr18"	1300000	0.68743657324616
"chr18"	850000	"chr18"	1350000	0.643731081422755
"chr18"	850000	"chr18"	1400000	0.0833898725154114
"chr18"	850000	"chr18"	1450000	0.0985105563329919
"chr18"	900000	"chr18"	950000	0.829712702098155
"chr18"	900000	"chr18"	1000000	0.918904625556543
"chr18"	900000	"chr18"	1050000	0.378157308655449
"chr18"	900000	"chr18"	1100000	0.842741761996169
"chr18"	900000	"chr18"	1150000	0.489772207597613
"chr18"	900000	"chr18"	1200000	0.775861457935708
"chr18"	900000	"chr18"	1250000	0.550960741302449
"chr18"	900000	"chr18"	1300000	0.554191826899868
"chr18"	900000	"chr18"	1350000	0.402095742194194
"chr18"	900000	"chr18"	1400000	0.706807249614356
"chr18"	900000	"chr18"	1450000	0.505683568115888
"chr18"	900000	"chr18"	1500000	0.0855186463935971
"chr18"	950000	"chr18"	1000000	0.958639803688785
"chr18"	950000	"chr18"	1050000	0.917929422909785
"chr18"	950000	"chr18"	1100000	0.90212818636548
"chr18"	950000	"chr18"	1150000	0.841861273016776
"chr18"	950000	"chr18"	1200000	0.90426819730163
"chr18"	950000	"chr18"	1250000	0.83442050804343
"chr18"	950000	"chr18"	1300000	0.982633699534769
"chr18"	950000	"chr18"	1350000	0.93079230496287
"chr18"	950000	"chr18"	1400000	0.735927732936864
"chr18"	950000	"chr18"	1450000	0.648896847891109
"chr18"	950000	"chr18"	1500000	0.702809130009948
"chr18"	950000	"chr18"	1550000	0.228663288354235
"chr18"	1000000	"chr18"	1050000	0.88069610620225
"chr18"	1000000	"chr18"	1100000	0.878503880685483
"chr18"	1000000	"chr18"	1150000	0.857917828877972
"chr18"	1000000	"chr18"	1200000	0.853508448601054
"chr18"	1000000	"chr18"	1250000	0.821580532169183
"chr18"	1000000	"chr18"	1300000	0.828577103950911
"chr18"	1000000	"chr18"	1350000	0.795490237519995
"chr18"	1000000	"chr18"	1400000	0.662454208932833
"chr18"	1000000	"chr18"	1450000	0.690838672156117
"chr18"	1000000	"chr18"	1500000	0.558197670285998
"chr18"	1000000	"chr18"	1550000	0.416828210483897
"chr18"	1000000	"chr18"	1600000	0.679954799932062
"chr18"	1050000	"chr18"	1100000	0.756441711697735
"chr18"	1050000	"chr18"	1150000	0.859139820518372
"chr18"	1050000	"chr18"	1200000	0.600048886532004
"chr18"	1050000	"chr18"	1250000	0.76660226452704
"chr18"	1050000	"chr18"	1300000	0.770930113195321
"chr18"	1050000	"chr18"	1350000	0.494475573447525
"chr18"	1050000	"chr18"	1400000	0.577211416064769
"chr18"	1050000	"chr18"	1450000	0.334740928704834
"chr18"	1050000	"chr18"	1500000	0.639641688325308
"chr18"	1050000	"chr18"	1550000	0.225661065771799
"chr18"	1050000	"chr18"	1600000	0.400314266157272
"chr18"	1050000	"chr18"	1650000	0.151897646593144
"chr18"	1100000	"chr18"	1150000	0.867988791363467
"chr18"	1100000	"chr18"	1200000	0.94489330547642
"chr18"	1100000	"chr18"	1250000	0.865665210975919
"chr18"	1100000	"chr18"	1300000	0.977437726848182
"chr18"	1100000	"chr18"	1350000	0.670929256451656
"chr18"	1100000	"chr18"	1400000	0.62186863835358
"chr18"	1100000	"chr18"	1450000	0.665522238998657
"chr18"	1100000	"chr18"	1500000	0.713969027382703
"chr18"	1100000	"chr18"	1550000	0.3775312594497
"chr18"	1100000	"chr18"	1600000	0.33471411957766
"chr18"	1100000	"chr18"	1650000	0.228472180566836
"chr18"	1100000	"chr18"	1700000	0.238545193779291
"chr18"	1150000	"chr18"	1200000	0.713064483853235
"chr18"	1150000	"chr18"	1250000	0.798371875201012
"chr18"	1150000	"chr18"	1300000	0.84946988388675
"chr18"	1150000	"chr18"	1350000	0.668131493945239
"chr18"	1150000	"chr18"	1400000	0.602344802415806
"chr18"	1150000	"chr18"	1450000	0.874822519390025
"chr18"	1150000	"chr18"	1500000	0.545575057745442
"chr18"	1150000	"chr18"	1550000	0.227720945950589
"chr18"	1150000	"chr18"	1600000	0.264581193780265
"chr18"	1150000	"chr18"	1650000	0.422437423690896
"chr18"	1150000	"chr18"	1700000	0.144153340615291
"chr18"	1150000	"chr18"	1750000	0.617075189323462
"chr18"	1200000	"chr18"	1250000	0.925033784715463
"chr18"	1200000	"chr18"	1300000	0.90573322552961
"chr18"	1200000	"chr18"	1350000	0.887474075481336
"chr18"	1200000	"chr18"	1400000	0.64304703697632
"chr18"	1200000	"chr18"	1450000	0.598295790674954
